OperationId,ShelfIndex,PictureLeft,PictureRight
313137393878471,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-BR.jpg
313137393878471,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-CR.jpg
313137393878471,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-DR.jpg
320744751871077,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-AR.jpg
320744751871077,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-BR.jpg
320744751871077,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-CR.jpg
320744751871077,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/320744751871077/PicturesAfter/raw/camera-DR.jpg
335540557255638,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-AR.jpg
335540557255638,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-BR.jpg
335540557255638,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-CR.jpg
335540557255638,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/335540557255638/PicturesAfter/raw/camera-DR.jpg
337020319590266,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-AR.jpg
337020319590266,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-BR.jpg
337020319590266,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-CR.jpg
337020319590266,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/337020319590266/PicturesAfter/raw/camera-DR.jpg
350918386882142,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-AR.jpg
350918386882142,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-BR.jpg
350918386882142,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-CR.jpg
350918386882142,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/350918386882142/PicturesAfter/raw/camera-DR.jpg
357536266723208,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/357536266723208/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/357536266723208/PicturesAfter/raw/camera-AR.jpg
